revshift,high,female,tenure
211.99994,0,0,318.99997
256.99997,0,0,337.00003
138.00005,0,0,330.00012
188,0,0,326.99994
235.00011,1,0,333.00018
303.00006,1,0,329.00009
257.99985,0,0,334.99982
141.00002,0,0,315.00012
267.00009,0,0,335.99994
377.99994,0,0,315.99994
163.99992,0,0,321.99982
374.00006,1,0,762.00037
325.49985,0,0,749
21.500002,1,0,759.99969
324.00015,0,0,775.99957
270,0,0,755.00018
279.99982,0,0,772.99994
318.99997,0,0,774.00012
320.99997,0,0,776.99976
361.99991,0,0,770.99969
596.99994,1,0,759.00018
360,1,0,761.00049
376.99994,1,0,763
320,0,0,753.99969
311.99994,0,0,755.99969
696.00024,0,0,771.99957
346.00009,1,0,764.00018
260.00009,0,0,751.99976
330.50012,0,0,775
257.99985,0,0,751.00024
358.99985,1,0,757.99969
311.99994,0,0,752.99982
332,1,0,756.99982
251.00002,0,0,749.99982
460.99997,1,0,755.99969
591.50018,0,0,741.00031
396.99988,1,0,751.99976
467.99985,1,0,755.00018
446.00003,0,0,749
433.99976,1,0,752.99982
506.00015,0,0,746.99988
395.99991,0,0,746.00031
369.00012,0,0,735.00037
438.99982,0,0,744.99982
644.99982,0,0,737.00006
358.99985,1,0,915.99969
251.00002,1,0,908.99994
340.00012,1,0,907.99963
199.99992,1,0,914.99994
464.99982,1,0,916.99957
388.99988,0,0,925.00024
361,1,0,917.99963
372.00006,0,0,905.00006
374.50006,0,0,902.00043
419.00003,1,0,918.99988
451.99991,0,0,929.00024
314,0,0,928.00024
361.99991,0,0,930.00037
519.00006,0,0,925.99976
103,0,0,905.99969
395.40002,0,0,927.00043
121.00005,0,0,935.00043
288.00015,1,0,911.00012
346.00009,0,0,903.99969
463.99976,0,0,932.99982
438.99982,0,0,913.00012
394.00003,0,0,936.00049
502.49966,1,0,912
569.00031,0,0,907.00049
326.50003,1,0,910.00037
426.00027,1,0,914.00037
347.00006,0,0,936.99976
394.00003,0,0,932.00018
506.00015,0,0,930.99976
324.00015,0,0,903.00043
311.00003,1,1,118.99994
670.99988,1,1,121.99999
417.99982,1,1,122.99995
334,1,1,120.00003
426.00027,1,0,507
460.00024,0,0,495.00012
475.00009,0,0,501.99994
684.00006,0,0,500.99994
369.00012,0,0,496.00003
185.00003,0,0,497.99997
246.00011,0,0,494.00024
325.99988,1,0,511.00021
473.99985,1,0,512.00018
276.00003,1,0,513.00006
686.49982,1,0,509
440.00012,1,0,510.00015
379.99991,1,0,513.99988
404.99997,0,0,498.99994
584,1,0,596.00018
429.99991,1,0,599.00024
175.8,0,0,547.99982
487.99982,0,0,528.99976
320,0,0,534.00006
320,1,0,598.00012
290.00003,0,0,545.00012
378.99991,0,0,539.99994
388.99988,0,0,537.99969
335.40005,0,0,543.99988
198,0,0,533.00031
347.00006,0,0,551.00012
320.99997,1,0,585.00006
432.00018,0,0,540.99988
273.99997,0,0,527.99988
499.99994,0,0,531
387.00012,1,0,586.00012
420.00012,0,0,554.99994
290.00003,0,0,558
361.99991,0,0,554.00018
328.00012,1,0,588.99988
156.5,0,0,526.99969
246.39995,1,0,591
332,0,0,547.00012
385.99985,1,0,588.00006
284.49994,1,0,584
351.39993,1,0,592.00024
80.000031,0,0,531.99976
463.99976,0,0,539.00024
90.000031,0,0,535.99994
229.5,1,0,579.99994
302,0,0,530
358.99985,1,0,593.99982
398.99985,0,0,548.99976
347.99985,1,0,581.00012
156,1,0,596.99994
258.99997,1,0,600.00018
139.99994,1,0,601.00006
286.00006,1,0,587.00012
204,1,0,594.99976
393.00015,0,0,535.00012
365.99988,1,0,581.99976
71.999992,0,0,553
61.999977,1,0,582.99988
305.00006,0,0,536.99994
90.000031,0,0,556.99988
90.000031,0,0,552
387.00012,0,0,560.00012
495.00012,0,0,542
444.00018,1,0,578.99969
441.00006,0,0,558.99976
229,0,0,555.99982
390.00009,0,0,395.00009
309.99991,0,0,398.99985
365.99988,0,0,396.99988
440.50024,0,0,398
487.99982,1,0,404.00006
334.99982,0,0,699.00018
110.99998,1,0,720.99988
330.99988,0,0,696.00024
311.99994,1,0,722.99982
380.39987,0,0,707.00024
324.00015,1,0,717.99957
276.00003,0,0,709.00037
242.00006,0,0,696.99969
246.99992,0,0,695.00012
394.00003,0,0,705.99982
271.99997,1,0,718.99976
335.99994,0,0,707.99994
305.99997,1,0,715.99988
332,1,0,717.00012
363.00006,0,0,701.00006
312.50015,0,0,703.00006
334.99982,0,0,705.00012
308.99991,0,0,697.99994
400.50009,0,0,699.99976
263.99997,0,0,702.00043
369.00012,0,0,703.99976
416.99991,1,0,719.99982
393.49997,1,0,721.99988
320,0,0,376.99994
246.00011,0,0,369.00012
312.50015,1,0,381.00024
330.00012,1,0,377.99994
286.99994,0,0,387.99988
289.00009,0,0,370.99997
303.00006,1,0,375
255.99989,0,0,388.99988
296.00015,0,0,368.00003
257.50006,0,0,372.99985
253.99994,1,0,378.99991
226,1,0,379.99991
356.00009,0,0,372.00006
286.99994,1,0,382.00015
334,1,0,374.00006
334,0,0,370
274.99997,1,0,375.99994
216.99992,1,0,741.00031
370.99997,1,0,744.99982
398.99985,0,0,733.00024
90.000031,0,0,717.00012
414,1,0,749
1289.9994,0,0,723.99969
476.00006,1,0,748
315.00012,0,0,731.99963
284.99994,0,0,726.99963
334,0,0,730.00037
153.00002,1,0,744
344.99985,1,0,752.99982
414.5,0,0,730.99963
94.000023,1,0,751.00024
490.99994,1,0,746.00031
251.99998,0,0,734
401.99997,1,0,749.99982
410.99991,1,0,742.99994
475.50006,0,0,727.99994
370.99997,0,0,726
504.99979,1,0,751.99976
294.99991,0,0,725.00024
297.99985,0,0,735.00037
865.00043,1,0,741.99982
328.00012,0,0,718.99976
294.00006,0,0,729.00018
297.99985,0,0,721.99988
375.99994,0,0,265.00006
290.99991,0,0,281.00009
250.00002,0,0,274.99997
294.00006,0,0,281.99997
349.99994,1,0,294.00006
268.99991,1,0,290.99991
447.39996,0,0,256.99997
765.99988,0,0,270
330.99988,1,0,290.00003
231.99991,0,0,257.99985
468.40018,0,0,268.99991
329.00009,1,0,292.99982
387.99988,0,0,379.99991
334,0,0,381.00024
332,1,0,385.99985
388.99988,0,0,376.99994
346.00009,0,0,375
391.49979,0,0,375.99994
390.00009,0,0,374.00006
212.99997,1,0,384.00018
132.99998,1,0,384.99988
220.00011,1,0,696.99969
337.00003,0,0,722.99982
197.00005,0,0,718.99976
314,1,0,699.00018
444.99988,1,0,680.00012
268.99991,1,0,695.00012
215,1,0,682.00024
308.00006,0,0,730.99963
429.00003,0,0,734
118.99994,1,0,678.99994
267.00009,1,0,684.00006
253.00012,1,0,675.00018
296.99997,0,0,717.00012
324.50015,0,0,730.00037
292.00006,1,0,675.99994
293.79993,1,0,690.00031
470.00015,0,0,726
274.49994,0,0,731.99963
201.00002,1,0,685.00012
446.39981,0,0,727.99994
330.99988,1,0,686.99982
191.00011,0,0,673.99994
429.00003,0,0,720.99988
401.99997,0,0,723.99969
225.00014,1,0,676.99982
387.00012,0,0,725.00024
171.49995,1,0,696.00024
462.99997,1,0,693
220.00011,1,0,688.00012
322.99991,1,0,688.99982
334.99982,0,0,729.00018
281.99997,1,0,680.99982
337.00003,0,0,715.99988
396.99988,0,0,721.99988
223.99998,1,0,677.99982
221.00006,1,0,691.00012
491.50003,0,0,719.99982
376.99994,1,0,683.00012
311.00003,1,0,694
421.99988,1,0,466.99988
354.00003,1,0,450.00018
358.99985,1,0,449.00006
71.000008,0,0,433.99976
289.00009,0,0,436.99991
384.00018,1,0,458.99991
240.00002,1,0,454.99982
382.00015,0,0,429.99991
86.999992,1,0,452.99994
300.99991,1,0,462.00006
369.00012,0,0,413.00018
329.00009,0,0,421.99988
283.00003,1,0,451.99991
340.49997,0,0,415.99988
393.00015,0,0,420.00012
619.50018,1,0,462.99997
375.49982,0,0,422.99994
432.00018,0,0,417.99982
308.00006,0,0,408.99994
377.99994,0,0,411.99985
363.00006,1,0,466.00018
355.00006,0,0,427.99991
346.00009,0,0,426.00027
356.49991,0,0,435
328.00012,0,0,410.99991
118.99994,0,0,424.99994
324.99994,0,0,632.99976
290.00003,0,0,622.99969
300.00015,0,0,634
382.00015,1,0,650.99957
332,0,0,613.00006
147.99995,0,0,614.00006
189.99998,0,0,628.99982
302,1,0,663
258.99997,1,0,656.00012
459.50003,1,0,659.00031
645.39984,0,0,614.99982
286.00006,0,0,619.99969
256.50009,1,0,665
356.40012,0,0,620.99994
290.99991,0,0,621.99994
311.00003,0,0,627.00031
308.00006,1,0,661.00012
375,1,0,654.99982
290.00003,0,0,616
446.00003,1,0,652.99994
333.00018,0,0,626.00037
406.99994,1,0,660.00012
488.49976,0,0,631.99976
84.000015,1,0,650.00043
579.99994,0,0,617.99969
166.00003,1,0,424.99994
169.00005,0,0,430.99997
290.00003,0,0,429.00003
308.99991,1,0,421.00006
305.00006,0,0,416.99991
277.99997,1,0,422.99994
113.99995,0,0,410.99991
82.999947,0,0,411.99985
308.50006,0,0,417.99982
202.00006,0,0,427.99991
242.00006,1,0,419.00003
308.99991,0,0,427
147.00006,1,0,421.99988
276.00003,1,0,420.00012
374.40009,0,0,415.99988
256.99997,0,0,413.00018
358,0,0,429.99991
276.00003,0,0,432.00018
279.99982,0,0,414.99979
300.99991,0,0,414
221.50009,1,0,424.00024
393.00015,1,0,558.99976
211.99994,1,0,563.00018
198,1,0,569.00031
246.99992,1,0,565.99994
262.00012,1,0,568.00031
318.99997,1,0,562.00006
398.99985,0,0,581.00012
347.00006,1,0,565.00012
340.99985,1,0,566.99982
375.39996,1,0,563.99988
305.00006,0,0,645.99969
177.00005,0,0,652.99994
99.000015,0,0,641.99982
349.99994,1,0,697.99994
223.00005,1,0,693
128.99995,1,0,682.00024
369.00012,0,0,649.00018
303.00006,0,0,650.00043
304.00009,0,0,658.00006
277.00012,1,0,688.00012
332.50006,1,0,695.00012
239.40005,0,0,648.00018
236.99997,0,0,651.99963
231.00006,1,0,696.99969
237.99985,0,0,639.00037
265.99991,0,0,650.99957
626.00037,1,0,686.99982
599.00024,1,0,680.00012
51.000019,1,0,688.99982
423.60016,0,0,643.00018
162.99997,1,0,690.00031
294.00006,0,0,640.99969
225.00014,0,0,654.00043
385.99985,0,0,644.99982
441.00006,1,0,686.00024
691.00012,1,0,683.00012
193.99997,1,0,685.00012
229,0,0,644.00018
267.00009,0,0,656.00012
356.49991,0,0,654.99982
251.99998,1,0,691.00012
325.99988,1,0,696.00024
299.50018,0,0,191.99992
346.50006,1,0,198
258.99997,1,0,193.99997
429.99991,0,0,598.00012
180.00003,0,0,546
289.00009,0,0,554.00018
356.00009,0,0,551.00012
337.00003,1,0,570.99988
258.99997,0,0,596.99994
333.50003,0,0,594.99976
246.00011,0,0,596.00018
391.00018,1,0,558.99976
337.50015,0,0,552
333.00018,0,0,592.00024
300.00015,1,0,565.99994
253.99994,0,0,591
277.99997,0,0,599.00024
405.99994,0,0,593.99982
324.00015,0,0,545.00012
311.00003,0,0,588.00006
300.99991,0,0,590.00024
332,1,0,560.00012
427,0,0,588.99988
393.00015,1,0,566.99982
182.99997,0,0,555.99982
273.00006,1,0,563.00018
344.99985,1,0,572
375,1,0,558
222.00014,0,0,563.99988
377.99994,1,0,569.99982
450.00018,0,0,554.99994
263.99997,0,0,592.99976
215.99991,0,0,547.99982
308.99991,1,0,562.00006
314,0,0,547.00012
335.99994,0,0,549.99982
377.99994,0,0,644.99982
294.99991,0,0,622.99969
624.00037,1,0,667.99988
307.00009,0,0,721.99988
733.80035,0,0,730.00037
578.99969,0,0,723.99969
481.99994,0,0,730.99963
365.89996,1,0,665
364.00006,0,0,709.00037
484.00003,0,0,717.99957
292.99982,1,0,678.99994
312.99994,0,0,727.99994
490.00031,0,0,626.00037
950.90009,0,0,722.99982
279.99982,0,0,632.99976
167.00003,0,0,726
400.99982,0,0,725.00024
542.99982,0,0,719.99982
387.00012,0,0,715.99988
422.49982,0,0,710.99969
616,0,0,649.00018
464.50021,1,0,651.99963
530.5,1,0,680.00012
793.99963,0,0,650.99957
945.99945,0,0,707.00024
361.5,0,0,631.99976
368.00003,0,0,640.99969
611.99982,1,0,675.99994
260.99991,1,0,661.99963
352.99997,0,0,639.99988
411.39999,1,0,654.00043
509,0,0,644.00018
334.99982,0,0,703.99976
267.00009,0,0,628.99982
249.00003,0,0,663.99988
343.49997,0,0,712.99969
433.00012,0,0,636.00031
330.50012,1,0,675.00018
411.99985,0,0,634
337.00003,0,0,714
651.99963,0,0,705.00012
147.00006,0,0,648.00018
517.00006,1,0,661.00012
311.99994,1,0,666.99994
320.99997,0,0,718.99976
299.00012,1,0,659.00031
1591,0,0,707.99994
400.00018,0,0,641.99982
195.00009,0,0,731.99963
424.00024,0,0,714.99963
377.99994,1,0,670.99988
318.00018,1,0,671.99976
657,0,0,637.99982
562.00006,1,0,652.99994
294.99991,0,0,720.99988
398.3002,1,0,672.99976
421.00006,1,0,680.99982
427.59991,0,0,625.00024
498.50021,0,0,630.00012
497,0,0,627.00031
458.49988,0,0,636.99957
320.99997,0,0,729.00018
404.99997,1,0,656.00012
490.00031,1,0,657
340.00012,0,0,635
424.99994,1,0,682.00024
427,0,0,643.00018
330.99988,0,0,705.99982
330.00012,0,0,717.00012
408.99994,0,0,726.99963
447.99991,0,0,710
435,1,0,660.00012
605.59955,0,0,621.99994
441.00006,1,0,669.99951
367.00006,1,0,677.99982
342.00009,0,0,620.99994
175,0,0,650.00043
607.00012,0,0,712.00006
551.00012,0,0,645.99969
180.00003,1,0,279.99982
263.99997,0,0,283.99994
198,0,0,273.99997
191.00011,0,0,265.99991
234.50009,0,0,286.00006
233.40007,0,0,284.99994
236.49995,1,0,277.00012
184.00005,0,0,263.99997
180.00003,1,0,277.99997
189,0,0,268.99991
180.00003,0,0,273.00006
411.5,0,0,271.00006
195.00009,1,0,274.99997
161.99994,1,0,276.00003
281.00009,0,0,286.99994
217.99998,0,0,265.00006
215,1,0,279.00006
90.000031,0,0,355.00006
318.99997,1,0,384.99988
296.00015,0,0,367.00006
90.000031,1,0,388.99988
417.99982,0,0,365.99988
390.5,0,0,370.99997
400.00018,0,0,361
290.00003,0,0,352.99997
347.99985,1,0,393.00015
340.00012,0,0,350.99991
400.99982,0,0,360
302,1,0,392.00006
375,0,0,358.99985
382.00015,0,0,361.99991
334.99982,1,0,390.00009
404.00006,1,0,385.99985
304.00009,0,0,365.00024
498.99994,0,0,358
311.99994,0,0,372.00006
294.99991,0,0,369.00012
305.99997,0,0,356.00009
290.99991,1,0,382.00015
271.99997,0,0,370
400.99982,0,0,351.99994
320.99997,1,0,387.99988
595.49976,1,0,381.00024
375.99994,1,0,384.00018
415.10022,0,0,364.00006
429.00003,0,0,368.00003
429.50012,0,0,363.00006
273.99997,0,0,372.99985
260.99991,0,0,357.00009
337.00003,1,0,383
282.50012,1,0,387.00012
378.99991,0,0,284.99994
395.00009,1,0,260.99991
215,0,0,283.99994
321.49982,1,0,258.99997
388.99988,1,0,251.00002
592.99976,0,0,279.00006
273.99997,1,0,257.99985
334.99982,0,0,279.99982
241.00002,1,0,262.00012
